x y l s
305800.00 492800.00 14 79
306000.00 492800.00 14 80
306200.00 492800.00 14 81
306400.00 492800.00 14 82
306600.00 492800.00 14 83
306800.00 492800.00 14 84
307000.00 492800.00 14 85
307200.00 492800.00 14 86
307400.00 492800.00 14 87
307600.00 492800.00 14 88
307800.00 492800.00 14 89
308000.00 492800.00 14 90
308200.00 492800.00 14 91
308400.00 492800.00 14 92
308600.00 492800.00 14 93
308800.00 492800.00 14 94
309000.00 492800.00 14 95
309200.00 492800.00 14 96
309400.00 492800.00 14 97
309600.00 492800.00 14 98
309800.00 492800.00 14 99
310000.00 492800.00 14 100
310200.00 492800.00 14 101
310400.00 492800.00 14 102
310600.00 492800.00 14 103
310800.00 492800.00 14 104
311000.00 492800.00 14 105
311200.00 492800.00 14 106
311400.00 492800.00 14 107
311600.00 492800.00 14 108
311800.00 492800.00 14 109
312000.00 492800.00 14 110
312200.00 492800.00 14 111
312400.00 492800.00 14 112
312600.00 492800.00 14 113
312800.00 492800.00 14 114
313000.00 492800.00 14 115
313200.00 492800.00 14 116
313400.00 492800.00 14 117
313600.00 492800.00 14 118
313800.00 492800.00 14 119
314000.00 492800.00 14 120
314200.00 492800.00 14 121
314400.00 492800.00 14 122
314600.00 492800.00 14 123
314800.00 492800.00 14 124
315000.00 492800.00 14 125
315200.00 492800.00 14 126
315400.00 492800.00 14 127
315600.00 492800.00 14 128
315800.00 492800.00 14 129
292200.00 493000.00 15 11
292400.00 493000.00 15 12
292600.00 493000.00 15 13
292800.00 493000.00 15 14
293000.00 493000.00 15 15
293200.00 493000.00 15 16
293400.00 493000.00 15 17
293600.00 493000.00 15 18
293800.00 493000.00 15 19
294000.00 493000.00 15 20
294200.00 493000.00 15 21
294400.00 493000.00 15 22
294600.00 493000.00 15 23
294800.00 493000.00 15 24
295000.00 493000.00 15 25
295200.00 493000.00 15 26
295400.00 493000.00 15 27
295600.00 493000.00 15 28
295800.00 493000.00 15 29
296000.00 493000.00 15 30
296200.00 493000.00 15 31
296400.00 493000.00 15 32
296600.00 493000.00 15 33
296800.00 493000.00 15 34
297000.00 493000.00 15 35
297200.00 493000.00 15 36
297400.00 493000.00 15 37
297600.00 493000.00 15 38
297800.00 493000.00 15 39
298000.00 493000.00 15 40
298200.00 493000.00 15 41
298400.00 493000.00 15 42
298600.00 493000.00 15 43
298800.00 493000.00 15 44
299000.00 493000.00 15 45
299200.00 493000.00 15 46
299400.00 493000.00 15 47
299600.00 493000.00 15 48
299800.00 493000.00 15 49
300000.00 493000.00 15 50
300200.00 493000.00 15 51
300400.00 493000.00 15 52
300600.00 493000.00 15 53
300800.00 493000.00 15 54
301000.00 493000.00 15 55
301200.00 493000.00 15 56
301400.00 493000.00 15 57
301600.00 493000.00 15 58
301800.00 493000.00 15 59
302000.00 493000.00 15 60
302200.00 493000.00 15 61
302400.00 493000.00 15 62
302600.00 493000.00 15 63
302800.00 493000.00 15 64
303000.00 493000.00 15 65
303200.00 493000.00 15 66
303400.00 493000.00 15 67
303600.00 493000.00 15 68
303800.00 493000.00 15 69
304000.00 493000.00 15 70
